,Worker,Job Profile,Department,Cross Appointments,IQC,CAMJ,CPTT,Climate,IPR,WCA,CTN,Game,WAT.AI,GHPI,WISA,MICRO,WISE,CCMIC,CPI,WICI,WIN,Water,CBB
59,Sujaya Maiyya,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,Trevor Brown,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61,Wenhu Chen,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,Xi He,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
63,Yizhou Zhang,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,Yousra Aafer,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
65,Arne Storjohann,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,Bernard Wong,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
67,Christopher Batty,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
68,Craig Kaplan,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69,Daniel Vogel,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
70,Edith Law,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
71,Eric Blais,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,Grant Weddell,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,Ian McKillop,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
74,Jeffery Orchard,Associate Professor,Cheriton School of Computer Science,CS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,Jonathan Buss,Associate Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
